Codigo;Codigo CAS-CHILE;Nombre del Bien;Subfamilia;Familia;DenominaciÛn;Cuenta Contable;Marca;Modelo;Serie;Descripcion;Origen;Responsable;Dependencia;Establecimiento;Unidad;Fecha;Estado; Valor sin iva ; Valor con iva ;OCompra;En Uso;TIPO DE CONTROL;VIDA UTIL EN A—OS S/CGR;VIDA UTIL EN MESES;VIDA UTIL SEG⁄N CRITERIO CGR EN MESES;VIDA UTIL INSUMIDA EN MESES;VIDA UTIL RETANTE EN MESES;DEPRECIACION MENSUAL;DEPRECIACION ACUMULADA ;VALOR LIBRO;VERIFICADO;FECHA VERIFICACION;REGISTRO NUEVO;eso1;eso2
MUN-000695;009-004-001;AIRE ACONDICIONADO DE PARED;EQUIPOS DE CLIMATIZACION;OTRAS M¡QUINAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS;141-12-00-000-000-000;MIDEA;;;;PROPIO;;OFICINA DE CAMARA SSPP;OFICINAS EX CESFAM ;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;356.298;423.995;1271356-538-CM23;SI;ACTIVO FIJO;15;180;135;45;135;2.356;106.020;317.975;;;;;
MUN-000967;009-004-001;AIRE ACONDICIONADO DE PARED;EQUIPOS DE CLIMATIZACION;OTRAS M¡QUINAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS;141-12-00-000-000-000;MIDEA;ILEGIBLE;ILEGIBLE;;PROPIO;;SECRETARIA MUNICIPAL ADMINISTRATIVA;OFICINAS EX CESFAM;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;356.298;423.995;1271356-538-CM23;SI;ACTIVO FIJO;15;180;135;45;135;2.356;106.020;317.975;;;;;
MUN-001235;009-004-001;AIRE ACONDICIONADO DE PARED;EQUIPOS DE CLIMATIZACION;OTRAS M¡QUINAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS;141-12-00-000-000-000;;;;AIRE ACONDICIONADO ADOSADO A LA PARED;PROPIO;;REGISTRO DE PERSONAS JURIDICAS;OFICINAS EX CESFAM;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;356.298;423.995;1271356-538-CM23;SI;ACTIVO FIJO;15;180;135;45;135;2.356;106.020;317.975;;;;;
MUN-001245;009-004-001;AIRE ACONDICIONADO DE PARED;EQUIPOS DE CLIMATIZACION;OTRAS M¡QUINAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS;141-12-00-000-000-000;MIDEA;;;AIRE ACONDICIONADO ADOSADO A LA PARED;PROPIO;;SECRETARIA MUNICIPAL ADMINISTRATIVA;OFICINAS EX CESFAM;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;356.298;423.995;1271356-538-CM23;SI;ACTIVO FIJO;15;180;135;45;135;2.356;106.020;317.975;;;;;
MUN-001259;009-004-001;AIRE ACONDICIONADO DE PARED;EQUIPOS DE CLIMATIZACION;OTRAS M¡QUINAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS;141-12-00-000-000-000;MIDEA;;;AIRE ACONDICIONADO ADOSADO A LA PARED;PROPIO;;OFICINA LOCAL DE LA NIÒEZ 1;OFICINAS EX CESFAM;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;356.298;423.995;1271356-538-CM23;SI;ACTIVO FIJO;15;180;135;45;135;2.356;106.020;317.975;;;;;
MUN-002044;009-004-001;AIRE ACONDICIONADO DE PARED;EQUIPOS DE CLIMATIZACION;OTRAS M¡QUINAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS;141-12-00-000-000-000;MIDEA;;;AIRE ACONDICIONADO ADOSADO A LA PARED;PROPIO;;OFICINA PROGRAMA VINCULOS;OFICINAS EX CESFAM;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;356.298;423.995;1271356-538-CM23;SI;ACTIVO FIJO;15;180;135;45;135;2.356;106.020;317.975;;;;;
MUN-002101;009-004-001;AIRE ACONDICIONADO DE PARED;EQUIPOS DE CLIMATIZACION;OTRAS M¡QUINAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS;141-12-00-000-000-000;MIDEA;MOB1-12HN1;;;PROPIO;;OFICINA PRODESAL;OFICINAS EX CESFAM;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;356.298;423.995;1271356-538-CM23;SI;ACTIVO FIJO;15;180;135;45;135;2.356;106.020;317.975;;;;;
MUN-002102;009-004-001;AIRE ACONDICIONADO DE PARED;EQUIPOS DE CLIMATIZACION;OTRAS M¡QUINAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS;141-12-00-000-000-000;MIDEA;MOB1-12HN1;;;PROPIO;;OFICINA PRODESAL;OFICINAS EX CESFAM;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;356.298;423.995;1271356-538-CM23;SI;ACTIVO FIJO;15;180;135;45;135;2.356;106.020;317.975;;;;;
MUN-002124;009-004-001;AIRE ACONDICIONADO DE PARED;EQUIPOS DE CLIMATIZACION;OTRAS M¡QUINAS Y EQUIPOS;MAQUINARIAS Y EQUIPOS;141-12-00-000-000-000;MIDEA;MS12F09HRN1;2,41E+21;;PROPIO;;OFICINA VIVIENDA;OFICINAS EX CESFAM;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;356.298;423.995;1271356-538-CM23;SI;ACTIVO FIJO;15;180;135;45;135;2.356;106.020;317.975;;;;;
SLD-001000;008-010-002;ESTANTE LIBRERO;ESTANTES;MUEBLES Y ENSERES;MATERIALES DE USO O CONSUMO;532-04-00-000-000-000;;;;;PROPIO;;ESTACION MEDICO RURAL;ESTACION LA BOCA;DEPARTAMENTO DE SALUD MUNICIPAL;31-10-2024;BUENO;105.900;126.021;2328-897-SE21;SI;ADMINISTRATIVO;0;0;0;0;0;0;0;126.021;SI;18-12-2025;;;
